epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6963.42,1.33783,0.85757,1.04287,0.62631,0.44057,0.47943,0.27192,1.78793,1.41863,1.29129,0.008614,0.008614,0.008614
44,7121.91,1.33919,0.85363,1.04083,0.64782,0.43476,0.48391,0.27976,1.76949,1.44562,1.28177,0.008581,0.008581,0.008581
45,7281,1.33286,0.85191,1.04015,0.62092,0.42977,0.46762,0.2708,1.77773,1.43915,1.29302,0.008548,0.008548,0.008548
46,7440.91,1.33025,0.84665,1.03834,0.61356,0.42762,0.47195,0.27584,1.78114,1.44832,1.29391,0.008515,0.008515,0.008515
47,7600.25,1.33645,0.84872,1.03759,0.65827,0.42527,0.48255,0.28056,1.78034,1.39449,1.28604,0.008482,0.008482,0.008482
48,7759.17,1.33328,0.84606,1.03628,0.63101,0.43413,0.49089,0.28637,1.78014,1.39013,1.28494,0.008449,0.008449,0.008449
49,7917.49,1.32725,0.84159,1.03403,0.66518,0.4234,0.49195,0.28814,1.78763,1.40177,1.29157,0.008416,0.008416,0.008416
50,8078.09,1.33042,0.83988,1.03177,0.66621,0.42269,0.48632,0.28448,1.78759,1.40827,1.29234,0.008383,0.008383,0.008383
51,8236.34,1.32105,0.83532,1.03168,0.66332,0.41199,0.47777,0.28081,1.79156,1.40811,1.29094,0.00835,0.00835,0.00835
52,8394.66,1.32256,0.83499,1.03212,0.6421,0.43269,0.48303,0.28317,1.79111,1.39164,1.28926,0.008317,0.008317,0.008317
53,8553.5,1.32008,0.83346,1.03178,0.62154,0.44786,0.49448,0.28795,1.79025,1.37102,1.28819,0.008284,0.008284,0.008284
54,8712.67,1.32267,0.83402,1.0292,0.65678,0.44275,0.50505,0.29332,1.78284,1.35398,1.28618,0.008251,0.008251,0.008251
55,8872.85,1.31721,0.82809,1.0255,0.67974,0.4408,0.50961,0.29549,1.782,1.34939,1.28262,0.008218,0.008218,0.008218
56,9034.29,1.31876,0.82849,1.02717,0.66607,0.44228,0.50868,0.29637,1.77432,1.36816,1.27986,0.008185,0.008185,0.008185
57,9196,1.31502,0.82272,1.02556,0.70246,0.43099,0.50784,0.29746,1.77376,1.38528,1.27916,0.008152,0.008152,0.008152
58,9354.78,1.31156,0.8239,1.02403,0.68009,0.43866,0.50811,0.29686,1.77517,1.41337,1.27776,0.008119,0.008119,0.008119
59,9517.6,1.31027,0.82039,1.02273,0.67347,0.4277,0.5003,0.29297,1.77663,1.43444,1.28033,0.008086,0.008086,0.008086
60,9678.03,1.3123,0.82053,1.02367,0.69888,0.42592,0.50076,0.29306,1.77216,1.41729,1.27961,0.008053,0.008053,0.008053
61,9838.3,1.3068,0.81731,1.02372,0.68173,0.42909,0.50032,0.29447,1.77038,1.41673,1.27917,0.00802,0.00802,0.00802
62,9999.92,1.3051,0.81624,1.02012,0.66898,0.42636,0.49609,0.29234,1.7753,1.41883,1.27945,0.007987,0.007987,0.007987
63,10162.2,1.30619,0.81419,1.02049,0.65721,0.43351,0.49599,0.2925,1.77947,1.41223,1.28011,0.007954,0.007954,0.007954
64,10321.4,1.3057,0.81429,1.02013,0.65662,0.43656,0.49766,0.29286,1.77522,1.40077,1.27529,0.007921,0.007921,0.007921
65,10481.9,1.3028,0.81183,1.01818,0.66819,0.43228,0.50086,0.29586,1.76794,1.38826,1.27273,0.007888,0.007888,0.007888
66,10642.1,1.2985,0.80681,1.01417,0.64358,0.44547,0.49966,0.2944,1.76357,1.38933,1.26969,0.007855,0.007855,0.007855
67,10800.9,1.29633,0.80402,1.01682,0.65432,0.44398,0.49986,0.29418,1.76011,1.39056,1.2687,0.007822,0.007822,0.007822
68,10959.8,1.30045,0.8064,1.0167,0.66072,0.44156,0.50142,0.29433,1.75808,1.38162,1.2657,0.007789,0.007789,0.007789
69,11120,1.2968,0.80409,1.01545,0.6785,0.43563,0.5044,0.29633,1.75871,1.37781,1.26597,0.007756,0.007756,0.007756
70,11278,1.29314,0.7994,1.01581,0.69105,0.4308,0.50412,0.29599,1.75899,1.39155,1.26731,0.007723,0.007723,0.007723
71,11438,1.29215,0.79846,1.01263,0.70838,0.42686,0.50568,0.29781,1.75427,1.39008,1.26526,0.00769,0.00769,0.00769
72,11599.8,1.28908,0.79583,1.01098,0.70365,0.42903,0.50611,0.2985,1.75356,1.39603,1.26498,0.007657,0.007657,0.007657
73,11758.9,1.29344,0.80027,1.01077,0.70221,0.42768,0.50537,0.29768,1.75672,1.39892,1.26617,0.007624,0.007624,0.007624
74,11917.7,1.28902,0.79726,1.01015,0.68682,0.43308,0.50477,0.29811,1.75795,1.40108,1.26637,0.007591,0.007591,0.007591
75,12078.8,1.28429,0.78978,1.00817,0.70062,0.42985,0.50422,0.29793,1.76009,1.39568,1.267,0.007558,0.007558,0.007558
76,12240.9,1.28442,0.79313,1.0105,0.69705,0.4313,0.50469,0.2985,1.7603,1.39044,1.26597,0.007525,0.007525,0.007525
77,12401.5,1.2847,0.79043,1.00846,0.697,0.43537,0.50718,0.29932,1.75812,1.38538,1.26447,0.007492,0.007492,0.007492
78,12560.8,1.28511,0.79023,1.00801,0.68989,0.43854,0.50772,0.29999,1.75688,1.38638,1.26348,0.007459,0.007459,0.007459
