epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11079.9,1.39365,0.93655,1.05509,0.59142,0.43693,0.44704,0.25002,1.78929,1.61314,1.27435,0.008614,0.008614,0.008614
44,11336.2,1.3885,0.9307,1.05228,0.56369,0.44127,0.44191,0.24478,1.78827,1.54219,1.27318,0.008581,0.008581,0.008581
45,11592.2,1.38826,0.9297,1.05251,0.6032,0.43538,0.44803,0.25004,1.79972,1.57961,1.28065,0.008548,0.008548,0.008548
46,11848.8,1.38355,0.9247,1.05089,0.60976,0.43379,0.44502,0.24815,1.80419,1.61768,1.28246,0.008515,0.008515,0.008515
47,12106.4,1.3779,0.92132,1.04786,0.64056,0.43216,0.44853,0.25085,1.79152,1.5939,1.28,0.008482,0.008482,0.008482
48,12363.8,1.38016,0.91819,1.0499,0.57809,0.43336,0.43272,0.23852,1.80459,1.58907,1.28665,0.008449,0.008449,0.008449
49,12621.5,1.3827,0.92112,1.04845,0.59732,0.43742,0.4438,0.2463,1.78912,1.58246,1.27504,0.008416,0.008416,0.008416
50,12880.7,1.3708,0.90804,1.04335,0.56157,0.4288,0.43453,0.23916,1.79974,1.60045,1.27853,0.008383,0.008383,0.008383
51,13138.3,1.36831,0.91125,1.045,0.58548,0.43465,0.44788,0.24728,1.79913,1.57959,1.28182,0.00835,0.00835,0.00835
52,13395.6,1.37113,0.90914,1.04428,0.58624,0.44041,0.45107,0.24912,1.80353,1.58391,1.28013,0.008317,0.008317,0.008317
53,13653.1,1.3696,0.91,1.04464,0.59703,0.44344,0.45573,0.25335,1.79324,1.56244,1.27426,0.008284,0.008284,0.008284
54,13911.3,1.36277,0.90491,1.0393,0.56829,0.44492,0.44333,0.24597,1.7999,1.5782,1.27977,0.008251,0.008251,0.008251
55,14665.1,1.3658,0.9032,1.03891,0.57953,0.45447,0.4524,0.25168,1.7968,1.58261,1.27732,0.008218,0.008218,0.008218
56,14922.1,1.36662,0.90302,1.03877,0.56754,0.45577,0.45072,0.24876,1.79807,1.58538,1.27781,0.008185,0.008185,0.008185
57,15179.1,1.35563,0.89286,1.03523,0.60074,0.44299,0.45061,0.24966,1.7937,1.59627,1.27609,0.008152,0.008152,0.008152
58,15436.1,1.35628,0.89348,1.03458,0.59407,0.44754,0.45122,0.25093,1.7884,1.59108,1.27082,0.008119,0.008119,0.008119
59,15692.3,1.34888,0.88861,1.03262,0.60461,0.44902,0.45709,0.25558,1.78747,1.58824,1.26824,0.008086,0.008086,0.008086
60,15948.6,1.35561,0.89189,1.03511,0.62951,0.44393,0.46162,0.26002,1.78278,1.58267,1.26565,0.008053,0.008053,0.008053
61,16204.8,1.35154,0.88945,1.03357,0.6199,0.44247,0.45875,0.25789,1.77704,1.56586,1.26044,0.00802,0.00802,0.00802
62,16461.1,1.34887,0.88559,1.03139,0.58954,0.44214,0.4574,0.25581,1.7766,1.55016,1.25807,0.007987,0.007987,0.007987
63,16717.5,1.34596,0.88334,1.02789,0.60673,0.44007,0.46167,0.25816,1.77642,1.56641,1.25858,0.007954,0.007954,0.007954
64,16973.3,1.34209,0.88168,1.03078,0.59855,0.4437,0.46439,0.25937,1.7805,1.57375,1.26272,0.007921,0.007921,0.007921
65,17229.9,1.34186,0.87791,1.0289,0.60906,0.44337,0.46753,0.26205,1.77881,1.56782,1.26284,0.007888,0.007888,0.007888
66,17486.2,1.33904,0.87466,1.02662,0.61675,0.44196,0.46751,0.26203,1.77786,1.5653,1.26121,0.007855,0.007855,0.007855
67,17742.7,1.34031,0.87557,1.02785,0.6077,0.44559,0.467,0.26216,1.77627,1.56965,1.26036,0.007822,0.007822,0.007822
68,17998.9,1.33944,0.87492,1.0275,0.6018,0.44856,0.46661,0.26127,1.78155,1.58081,1.26273,0.007789,0.007789,0.007789
69,18255.7,1.33746,0.87334,1.0259,0.61017,0.44219,0.46525,0.26036,1.78087,1.59393,1.26187,0.007756,0.007756,0.007756
70,18512.3,1.33603,0.87095,1.02449,0.61494,0.43943,0.46643,0.26112,1.78411,1.59195,1.26299,0.007723,0.007723,0.007723
71,18769,1.33136,0.86737,1.02346,0.60801,0.44282,0.46619,0.26128,1.78479,1.58878,1.2627,0.00769,0.00769,0.00769
72,19025.6,1.33448,0.86847,1.02409,0.60912,0.44456,0.46637,0.26176,1.78382,1.58888,1.26235,0.007657,0.007657,0.007657
73,19282.3,1.33511,0.86774,1.02339,0.60822,0.44574,0.46744,0.26319,1.78364,1.58059,1.26108,0.007624,0.007624,0.007624
74,19538.5,1.32965,0.863,1.02262,0.61818,0.44231,0.46809,0.26409,1.78268,1.57791,1.26111,0.007591,0.007591,0.007591
75,19795.1,1.32604,0.86304,1.02074,0.61823,0.44174,0.4689,0.26449,1.77862,1.57575,1.25925,0.007558,0.007558,0.007558
76,20051.9,1.32623,0.86012,1.01989,0.61912,0.44327,0.47037,0.26573,1.77515,1.56904,1.25727,0.007525,0.007525,0.007525
77,20308.7,1.32085,0.85751,1.01846,0.63023,0.44092,0.47238,0.26726,1.77245,1.56542,1.2557,0.007492,0.007492,0.007492
78,20565.2,1.32358,0.85696,1.01989,0.64286,0.43745,0.47465,0.26861,1.77212,1.56552,1.25512,0.007459,0.007459,0.007459
79,20821.8,1.32045,0.85344,1.01845,0.64065,0.4379,0.47359,0.26824,1.77145,1.56642,1.25449,0.007426,0.007426,0.007426
80,21078.1,1.32378,0.85378,1.01871,0.6493,0.43594,0.47494,0.26954,1.77112,1.56513,1.25418,0.007393,0.007393,0.007393
81,21334.6,1.31829,0.85212,1.01632,0.65676,0.43336,0.47606,0.27052,1.77115,1.56474,1.25397,0.00736,0.00736,0.00736
82,21591.5,1.31657,0.85229,1.01637,0.65725,0.43345,0.47627,0.27079,1.76992,1.56964,1.25312,0.007327,0.007327,0.007327
83,21847.7,1.31382,0.84929,1.01553,0.64882,0.43956,0.4767,0.27103,1.76824,1.56838,1.25195,0.007294,0.007294,0.007294
84,22104.4,1.31721,0.84914,1.01636,0.6515,0.4383,0.47707,0.27145,1.76723,1.56642,1.25099,0.007261,0.007261,0.007261
85,22360.7,1.32365,0.85264,1.01839,0.65198,0.4377,0.47733,0.27135,1.76678,1.56549,1.25059,0.007228,0.007228,0.007228
86,22617.1,1.31227,0.84488,1.01379,0.64895,0.43866,0.47789,0.27162,1.76627,1.56298,1.25019,0.007195,0.007195,0.007195
87,22873.3,1.31455,0.84593,1.0138,0.64981,0.43814,0.47809,0.27178,1.76493,1.56137,1.24948,0.007162,0.007162,0.007162
88,23129.7,1.31474,0.84638,1.01368,0.65682,0.43571,0.4788,0.27253,1.76361,1.55893,1.24893,0.007129,0.007129,0.007129
89,23387,1.30778,0.83978,1.01155,0.66131,0.4356,0.47975,0.273,1.76413,1.55773,1.24911,0.007096,0.007096,0.007096
90,23643.4,1.30909,0.84037,1.01235,0.65554,0.43879,0.48076,0.2732,1.76432,1.5565,1.24893,0.007063,0.007063,0.007063
91,23899.9,1.30975,0.83992,1.01111,0.65406,0.43972,0.48098,0.27334,1.76337,1.55548,1.24834,0.00703,0.00703,0.00703
92,24156.5,1.30774,0.83809,1.01141,0.65254,0.43969,0.4815,0.27356,1.76368,1.55297,1.24826,0.006997,0.006997,0.006997
93,24412.6,1.31046,0.83926,1.01213,0.64564,0.44207,0.48194,0.27382,1.76315,1.55278,1.24788,0.006964,0.006964,0.006964
94,24669.2,1.30351,0.83369,1.00966,0.63718,0.4463,0.4826,0.27394,1.7623,1.55197,1.24745,0.006931,0.006931,0.006931
95,24925.8,1.30248,0.83132,1.00808,0.63543,0.44555,0.48309,0.27435,1.76233,1.55212,1.24763,0.006898,0.006898,0.006898
