                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                 1.1887,                0.69593,                0.96525,                0.68706,                0.55758,                0.62807,                 0.3504,                 1.7417,                 1.2972,                 1.2297,               0.004918,               0.004918,               0.004918
                    156,                 1.1883,                0.69559,                0.96703,                0.68883,                0.55664,                0.62752,                0.34951,                 1.7417,                 1.2964,                 1.2296,               0.004885,               0.004885,               0.004885
                    157,                 1.1892,                0.69676,                0.96628,                0.68929,                0.55671,                0.62754,                0.34951,                 1.7409,                 1.2962,                 1.2289,               0.004852,               0.004852,               0.004852
                    158,                 1.1901,                 0.6947,                0.96606,                0.69012,                 0.5554,                0.62793,                0.34925,                 1.7394,                 1.2954,                 1.2279,               0.004819,               0.004819,               0.004819
                    159,                 1.1874,                0.69472,                0.96517,                0.69084,                0.55497,                0.62795,                0.34897,                 1.7387,                 1.2956,                 1.2275,               0.004786,               0.004786,               0.004786
                    160,                 1.1903,                 0.6952,                0.96591,                0.69063,                0.55401,                0.62777,                0.34859,                 1.7392,                 1.2964,                 1.2276,               0.004753,               0.004753,               0.004753
                    161,                 1.1871,                0.69507,                0.96385,                0.69037,                 0.5535,                0.62766,                0.34897,                 1.7391,                 1.2968,                 1.2274,                0.00472,                0.00472,                0.00472
                    162,                 1.1902,                0.69422,                0.96496,                0.69186,                0.55225,                0.62738,                0.34899,                 1.7382,                 1.2974,                 1.2266,               0.004687,               0.004687,               0.004687
                    163,                 1.1862,                0.69359,                0.96468,                0.69186,                0.55011,                0.62658,                0.34896,                  1.738,                 1.2983,                 1.2263,               0.004654,               0.004654,               0.004654
                    164,                 1.1832,                0.69032,                0.96409,                0.68944,                0.55039,                0.62666,                0.34853,                 1.7371,                 1.2994,                 1.2257,               0.004621,               0.004621,               0.004621
                    165,                 1.1855,                 0.6905,                0.96456,                0.68749,                0.55181,                0.62648,                0.34831,                 1.7368,                 1.3009,                 1.2253,               0.004588,               0.004588,               0.004588
                    166,                 1.1829,                0.68842,                0.96429,                0.68667,                0.55013,                0.62662,                0.34808,                 1.7363,                 1.3022,                  1.225,               0.004555,               0.004555,               0.004555
                    167,                 1.1836,                0.68964,                0.96333,                0.69363,                 0.5491,                0.62696,                0.34817,                 1.7355,                  1.302,                 1.2245,               0.004522,               0.004522,               0.004522
                    168,                 1.1864,                0.69233,                0.96325,                0.69323,                 0.5475,                0.62659,                0.34776,                 1.7353,                 1.3025,                 1.2243,               0.004489,               0.004489,               0.004489
                    169,                 1.1852,                0.69008,                0.96478,                0.69525,                0.54651,                0.62688,                0.34727,                 1.7352,                 1.3033,                 1.2239,               0.004456,               0.004456,               0.004456
                    170,                 1.1838,                0.68969,                0.96388,                 0.6947,                0.54678,                 0.6266,                0.34713,                 1.7355,                 1.3033,                 1.2239,               0.004423,               0.004423,               0.004423
                    171,                 1.1831,                0.68792,                0.96494,                0.69727,                0.54615,                0.62703,                0.34702,                 1.7343,                 1.3033,                 1.2229,                0.00439,                0.00439,                0.00439
                    172,                 1.1855,                0.69012,                0.96434,                0.70066,                0.54539,                0.62684,                0.34707,                  1.734,                  1.305,                 1.2226,               0.004357,               0.004357,               0.004357
                    173,                 1.1827,                0.69037,                0.96436,                0.70528,                0.54241,                0.62624,                0.34659,                 1.7354,                 1.3065,                 1.2233,               0.004324,               0.004324,               0.004324
                    174,                 1.1847,                0.68873,                0.96441,                0.70504,                 0.5423,                0.62579,                0.34635,                 1.7363,                  1.308,                 1.2235,               0.004291,               0.004291,               0.004291
                    175,                 1.1825,                0.68649,                0.96328,                0.70308,                0.54364,                0.62594,                 0.3463,                 1.7365,                 1.3087,                 1.2233,               0.004258,               0.004258,               0.004258
                    176,                 1.1785,                0.68661,                0.96203,                0.70754,                0.54189,                 0.6265,                0.34607,                 1.7365,                 1.3095,                 1.2233,               0.004225,               0.004225,               0.004225
                    177,                 1.1819,                0.68812,                0.96236,                0.70549,                0.54289,                0.62633,                0.34579,                 1.7353,                 1.3091,                 1.2226,               0.004192,               0.004192,               0.004192
                    178,                 1.1798,                0.68563,                0.96193,                0.70584,                0.54388,                0.62709,                 0.3452,                 1.7349,                 1.3083,                 1.2223,               0.004159,               0.004159,               0.004159
                    179,                 1.1856,                0.68823,                0.96275,                0.70786,                0.54265,                0.62693,                0.34488,                 1.7343,                 1.3094,                  1.222,               0.004126,               0.004126,               0.004126
                    180,                 1.1804,                0.68462,                0.96177,                0.70492,                0.54378,                0.62658,                 0.3446,                 1.7345,                 1.3114,                 1.2219,               0.004093,               0.004093,               0.004093
                    181,                 1.1775,                0.68376,                0.96064,                0.70591,                0.54336,                0.62699,                0.34486,                 1.7339,                 1.3133,                 1.2214,                0.00406,                0.00406,                0.00406
                    182,                 1.1782,                0.68259,                0.96429,                0.70966,                0.54131,                0.62691,                0.34439,                 1.7343,                  1.314,                 1.2214,               0.004027,               0.004027,               0.004027
                    183,                 1.1797,                0.68276,                0.96361,                0.71112,                0.54004,                0.62711,                0.34424,                 1.7347,                 1.3152,                 1.2216,               0.003994,               0.003994,               0.003994
                    184,                  1.178,                0.68418,                0.96256,                0.71414,                 0.5382,                0.62645,                0.34386,                 1.7349,                 1.3175,                 1.2215,               0.003961,               0.003961,               0.003961
                    185,                 1.1745,                0.68119,                  0.961,                0.71414,                0.53889,                0.62608,                0.34337,                  1.735,                 1.3194,                 1.2215,               0.003928,               0.003928,               0.003928
                    186,                 1.1763,                0.68368,                0.96167,                0.71461,                0.53976,                0.62674,                 0.3438,                 1.7355,                 1.3198,                 1.2216,               0.003895,               0.003895,               0.003895
                    187,                 1.1765,                0.68092,                0.95957,                0.71523,                0.53916,                0.62624,                0.34393,                 1.7352,                 1.3216,                 1.2214,               0.003862,               0.003862,               0.003862
                    188,                 1.1749,                 0.6814,                0.96123,                 0.7188,                0.53787,                0.62637,                0.34434,                 1.7349,                 1.3228,                 1.2211,               0.003829,               0.003829,               0.003829
                    189,                 1.1733,                0.67912,                0.96081,                0.72098,                0.53665,                0.62617,                0.34447,                 1.7351,                 1.3238,                 1.2211,               0.003796,               0.003796,               0.003796
                    190,                 1.1733,                 0.6795,                0.96152,                0.72112,                0.53709,                0.62612,                0.34454,                 1.7352,                 1.3245,                 1.2209,               0.003763,               0.003763,               0.003763
                    191,                 1.1736,                0.68026,                 0.9609,                0.72405,                 0.5356,                0.62551,                0.34455,                 1.7351,                 1.3254,                 1.2208,                0.00373,                0.00373,                0.00373
                    192,                 1.1756,                0.67861,                0.95969,                 0.7221,                0.53592,                0.62533,                0.34449,                 1.7348,                 1.3269,                 1.2204,               0.003697,               0.003697,               0.003697
                    193,                 1.1759,                0.68001,                0.96133,                0.72485,                0.53508,                0.62565,                0.34434,                  1.735,                 1.3285,                 1.2203,               0.003664,               0.003664,               0.003664
                    194,                 1.1713,                0.67865,                0.95943,                0.72394,                0.53576,                0.62517,                0.34435,                 1.7346,                 1.3299,                 1.2199,               0.003631,               0.003631,               0.003631
                    195,                 1.1697,                0.67553,                0.95838,                0.72095,                0.53586,                0.62476,                0.34419,                 1.7348,                 1.3309,                 1.2198,               0.003598,               0.003598,               0.003598
                    196,                 1.1734,                0.67897,                0.96096,                0.71931,                0.53708,                  0.625,                0.34423,                 1.7338,                 1.3308,                 1.2191,               0.003565,               0.003565,               0.003565
                    197,                 1.1719,                0.67716,                0.95972,                0.72103,                0.53683,                0.62444,                0.34405,                 1.7328,                 1.3326,                 1.2184,               0.003532,               0.003532,               0.003532
                    198,                 1.1712,                0.67784,                0.96003,                0.72051,                0.53619,                0.62421,                0.34446,                 1.7336,                  1.335,                 1.2189,               0.003499,               0.003499,               0.003499
                    199,                 1.1732,                0.67747,                0.95813,                0.72133,                 0.5362,                0.62443,                0.34448,                 1.7334,                 1.3362,                 1.2184,               0.003466,               0.003466,               0.003466
                    200,                 1.1691,                0.67439,                0.95788,                0.72124,                0.53563,                0.62403,                0.34447,                 1.7341,                 1.3379,                 1.2186,               0.003433,               0.003433,               0.003433
                    201,                 1.1679,                0.67352,                0.95775,                0.72468,                0.53444,                0.62337,                0.34447,                 1.7347,                 1.3393,                 1.2189,                 0.0034,                 0.0034,                 0.0034
                    202,                  1.172,                 0.6767,                0.95991,                 0.7215,                0.53472,                0.62284,                0.34448,                 1.7349,                 1.3397,                  1.219,               0.003367,               0.003367,               0.003367
                    203,                 1.1682,                 0.6736,                0.95801,                0.72454,                0.53374,                0.62304,                0.34471,                 1.7352,                 1.3415,                 1.2189,               0.003334,               0.003334,               0.003334
                    204,                 1.1715,                 0.6745,                 0.9585,                0.72941,                0.53292,                0.62362,                 0.3448,                 1.7349,                 1.3437,                 1.2186,               0.003301,               0.003301,               0.003301
                    205,                 1.1663,                0.67376,                0.95777,                0.72771,                 0.5336,                0.62328,                0.34486,                 1.7344,                 1.3465,                  1.218,               0.003268,               0.003268,               0.003268
                    206,                 1.1662,                0.67219,                0.95799,                0.72788,                0.53249,                0.62333,                0.34494,                 1.7347,                 1.3481,                 1.2179,               0.003235,               0.003235,               0.003235
                    207,                 1.1664,                  0.672,                0.95846,                0.72742,                0.53299,                0.62326,                0.34459,                 1.7348,                 1.3515,                 1.2178,               0.003202,               0.003202,               0.003202
                    208,                  1.162,                0.66958,                0.95744,                0.72874,                0.53244,                0.62285,                0.34397,                 1.7347,                 1.3545,                 1.2177,               0.003169,               0.003169,               0.003169
                    209,                 1.1653,                0.67238,                0.95706,                0.72616,                0.53396,                 0.6228,                0.34413,                 1.7344,                 1.3564,                 1.2174,               0.003136,               0.003136,               0.003136
                    210,                 1.1628,                0.66767,                0.95655,                0.73104,                0.53184,                0.62264,                0.34391,                 1.7343,                 1.3577,                 1.2172,               0.003103,               0.003103,               0.003103
                    211,                 1.1607,                0.66615,                0.95629,                0.73146,                0.53243,                0.62281,                0.34393,                 1.7348,                 1.3593,                 1.2174,                0.00307,                0.00307,                0.00307
                    212,                 1.1644,                   0.67,                0.95534,                0.73408,                0.53217,                0.62304,                0.34416,                 1.7348,                 1.3607,                 1.2175,               0.003037,               0.003037,               0.003037
                    213,                 1.1618,                0.66801,                 0.9552,                0.73233,                0.53341,                0.62296,                0.34418,                 1.7349,                 1.3603,                 1.2175,               0.003004,               0.003004,               0.003004
                    214,                 1.1629,                0.66785,                0.95608,                 0.7347,                 0.5319,                0.62281,                0.34421,                 1.7354,                  1.364,                 1.2177,               0.002971,               0.002971,               0.002971
                    215,                 1.1636,                0.67084,                0.95632,                0.73551,                 0.5323,                0.62285,                0.34416,                 1.7357,                 1.3653,                 1.2179,               0.002938,               0.002938,               0.002938
                    216,                  1.164,                0.66884,                0.95692,                0.73498,                0.53285,                0.62276,                0.34388,                 1.7362,                 1.3672,                 1.2181,               0.002905,               0.002905,               0.002905
                    217,                  1.158,                0.66579,                0.95517,                0.72952,                0.53448,                0.62238,                 0.3437,                 1.7363,                  1.369,                 1.2181,               0.002872,               0.002872,               0.002872
                    218,                 1.1607,                0.66869,                0.95633,                0.72775,                0.53506,                0.62179,                0.34364,                 1.7365,                 1.3706,                  1.218,               0.002839,               0.002839,               0.002839
                    219,                   1.16,                0.66513,                0.95526,                0.72923,                0.53543,                0.62188,                0.34365,                 1.7371,                 1.3712,                 1.2183,               0.002806,               0.002806,               0.002806
                    220,                 1.1595,                0.66468,                0.95451,                0.72802,                0.53609,                0.62153,                0.34384,                 1.7373,                 1.3726,                 1.2183,               0.002773,               0.002773,               0.002773
                    221,                 1.1606,                0.66741,                0.95539,                0.72772,                0.53584,                0.62176,                0.34394,                  1.737,                 1.3735,                 1.2183,                0.00274,                0.00274,                0.00274
                    222,                 1.1563,                0.66243,                0.95313,                 0.7275,                0.53736,                0.62235,                0.34399,                 1.7373,                 1.3755,                 1.2183,               0.002707,               0.002707,               0.002707
                    223,                  1.158,                0.66408,                0.95416,                0.73139,                0.53568,                0.62198,                0.34405,                 1.7374,                 1.3769,                 1.2181,               0.002674,               0.002674,               0.002674
                    224,                 1.1591,                0.66394,                  0.956,                0.72932,                0.53583,                0.62151,                0.34443,                 1.7377,                 1.3798,                  1.218,               0.002641,               0.002641,               0.002641
